fechas;ventas
7/01/2024 0:00;8
7/01/2024 0:01;11
7/01/2024 0:02;9
7/01/2024 0:03;15
7/01/2024 0:04;14
7/01/2024 0:05;27
7/01/2024 0:06;25
7/01/2024 0:07;35
7/01/2024 0:08;28
7/01/2024 0:09;30
7/01/2024 0:10;32
7/01/2024 0:11;34
7/01/2024 0:12;36
7/01/2024 0:13;38
7/01/2024 0:14;41
7/01/2024 0:15;43
7/01/2024 0:16;45
7/01/2024 0:17;47
7/01/2024 0:18;49
7/01/2024 0:19;51
7/01/2024 0:20;53
7/01/2024 0:21;55
7/01/2024 0:22;57
7/01/2024 0:23;59
7/01/2024 0:24;61
7/01/2024 0:25;63
7/01/2024 0:26;65
7/01/2024 0:27;67
7/01/2024 0:28;69
7/01/2024 0:29;71
7/01/2024 0:30;73
7/01/2024 0:31;75
7/01/2024 0:32;77
7/01/2024 0:33;79
7/01/2024 0:34;81
7/01/2024 0:35;84
7/01/2024 0:36;86
7/01/2024 0:37;88
7/01/2024 0:38;90
7/01/2024 0:39;92
7/01/2024 0:40;94
7/01/2024 0:41;96
7/01/2024 0:42;98
7/01/2024 0:43;100
7/01/2024 0:44;102
7/01/2024 0:45;104
7/01/2024 0:46;106
7/01/2024 0:47;108
7/01/2024 0:48;110
7/01/2024 0:49;112
7/01/2024 0:50;114
7/01/2024 0:51;116
7/01/2024 0:52;118
7/01/2024 0:53;120
7/01/2024 0:54;122
7/01/2024 0:55;124
7/01/2024 0:56;127
7/01/2024 0:57;129
7/01/2024 0:58;131
7/01/2024 0:59;133
7/01/2024 1:00;135
7/01/2024 1:01;137
7/01/2024 1:02;139
7/01/2024 1:03;141
7/01/2024 1:04;143
7/01/2024 1:05;145
7/01/2024 1:06;147
7/01/2024 1:07;149
7/01/2024 1:08;151
7/01/2024 1:09;153
7/01/2024 1:10;155
7/01/2024 1:11;157
7/01/2024 1:12;159
7/01/2024 1:13;161
7/01/2024 1:14;163
7/01/2024 1:15;165
7/01/2024 1:16;168
7/01/2024 1:17;170
7/01/2024 1:18;172
7/01/2024 1:19;174
7/01/2024 1:20;176
7/01/2024 1:21;178
7/01/2024 1:22;180
7/01/2024 1:23;182
7/01/2024 1:24;184
7/01/2024 1:25;186
7/01/2024 1:26;188
7/01/2024 1:27;190
7/01/2024 1:28;192
7/01/2024 1:29;194
7/01/2024 1:30;196
7/01/2024 1:31;198
7/01/2024 1:32;200
7/01/2024 1:33;202
